word,phonetics,origin,definition,partOfSpeech
counter-accusation,ˌkau̇n-tər-ˌa-kyə-ˈzā-shən,,an accusation made in response to another accusation : a charge of wrongdoing or fault made toward a person or group who originally made such a charge,noun
perchloroethylene,(ˌ)pər-ˌklȯr-ō-ˈe-thə-ˌlēn,,a colorless nonflammable toxic liquid C2Cl4 used often as a solvent in dry cleaning and for removal of grease from metals,noun
ultranationalists,ˌəl-trə-ˈnash-nə-ˌli-zəm,,radical loyalty and devotion to a nation : extreme nationalism,noun
oxytetracyclines,ˌäk-si-ˌte-trə-ˈsī-ˌklēn,,a yellow crystalline broad-spectrum antibiotic C22H24N2O9 produced by a soil actinomycete (Streptomyces rimosus),noun
intellectualness,ˌin-tə-ˈlek-chə-wəl,,of or relating to the intellect or its use; developed or chiefly guided by the intellect rather than by emotion or experience : rational; requiring use of the intellect,adjective
microradiographic,ˌmī-krō-ˌrā-dē-ˈä-grə-fē,,radiography in which an X-ray photograph is prepared showing minute internal structure,noun
trigonometrically,ˌtri-gə-nə-ˈme-trik,,"of, relating to, or being in accordance with trigonometry",adjective
counterrevolutions,ˌkau̇n-tər-ˌre-və-ˈlü-shən,,a revolution directed toward overthrowing a government or social system established by a previous revolution; a movement to counteract revolutionary trends,noun
hysterosalpingograms,ˌhi-stə-rō-ˌsal-ˈpiŋ-gə-ˌgram,,a radiograph made by hysterosalpingography,noun
electroluminescence,i-ˌlek-trō-ˌlü-mə-ˈne-sᵊnt,,of or relating to luminescence resulting from a high-frequency discharge through a gas or from application of a current to a layer of phosphor,adjective
biotechnological,ˌbī-ō-tek-ˈnä-lə-jē,,"the manipulation (as through genetic engineering) of living organisms or their components to produce useful usually commercial products (such as pest resistant crops, new bacterial strains, or novel pharmaceuticals); also : any of various applications of biological science used in such manipulation; ergonomics",noun
non-establishment,ˌnän-i-ˈsta-blish-mənt,,ordinary citizens considered as group distinct from the establishment or ruling class —often used before another noun; failure or refusal to establish something,noun
hypercorrectness,ˌhī-pər-kə-ˈrekt,,"of, relating to, or characterized by the production of a nonstandard linguistic form or construction on the basis of a false analogy (such as ""badly"" in ""my eyes have gone badly"")",adjective
